game_id,season,team,home_away,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,passesDeflected,qbHurries,sacks,tackles,defensiveTDs,tacklesForLoss,totalFumbles,fumblesRecovered,kickingPoints,passingTDs,puntReturns,puntReturnTDs,puntReturnYards,rushingTDs,kickReturns,kickReturnTDs,kickReturnYards,passesIntercepted,interceptionTDs,interceptionYards,third_down_pct,fourth_down_pct,win
401403937,2022,,away,28,4-12,1-2,492,201,17-28,7.2,291,50,5.8,10-39,0,0,0,37:07,4,3,2,35,0,6,0.0,2,11.0,2,2.0,0.0,35.0,3,,,,,,,0.3333333333333333,0.5,1
401403883,2022,,home,17,3-8,0-0,329,112,10-18,6.2,217,30,7.2,6-48,2,0,2,23:41,2,5,0,40,1,4,0.0,1,7.0,0,,,,3,,,,2.0,1.0,39.0,0.375,,1
401403901,2022,,away,31,7-15,5-6,594,453,24-45,10.1,141,42,3.4,10-47,2,1,1,34:57,1,2,3,43,0,5,1.0,2,3.0,2,,,,3,3.0,0.0,44.0,,,,0.4666666666666667,0.8333333333333334,0
401403857,2022,,home,23,7-12,2-2,451,168,17-24,7.0,283,39,7.3,7-38,1,1,0,27:43,2,5,0,36,0,2,2.0,0,3.0,0,,,,4,5.0,0.0,81.0,1.0,0.0,0.0,0.5833333333333334,1.0,1
401403955,2022,,away,20,4-15,3-4,445,400,25-43,9.3,45,21,2.1,7-80,2,1,1,26:34,3,1,1,28,0,5,2.0,1,6.0,3,1.0,0.0,-5.0,0,2.0,0.0,41.0,1.0,0.0,0.0,0.26666666666666666,0.75,0
401403958,2022,,away,22,8-16,1-3,460,198,9-27,7.3,262,46,5.7,10-91,1,0,1,29:53,7,1,2,27,0,7,0.0,1,8.0,3,2.0,0.0,17.0,2,3.0,0.0,87.0,,,,0.5,0.3333333333333333,0
401403871,2022,,home,12,4-16,1-3,279,143,14-35,4.1,136,30,4.5,3-28,2,0,2,26:36,2,7,3,31,0,6,1.0,0,6.0,0,2.0,0.0,1.0,1,4.0,0.0,70.0,1.0,0.0,0.0,0.25,0.3333333333333333,0
401403904,2022,,home,20,3-6,0-1,666,392,16-22,17.8,274,28,9.8,5-40,1,0,1,23:32,2,3,2,38,0,7,1.0,1,10.0,3,4.0,0.0,23.0,4,1.0,0.0,24.0,,,,0.5,0.0,1
401403910,2022,,home,13,3-11,1-1,297,66,8-14,4.7,231,32,7.2,1-5,2,1,1,23:51,0,3,4,47,1,13,2.0,0,6.0,1,2.0,0.0,48.0,1,,,,2.0,1.0,54.0,0.2727272727272727,1.0,1
401403941,2022,,home,26,9-15,1-2,515,141,13-25,5.6,374,54,6.9,7-50,1,1,0,36:20,1,6,3,28,0,7,4.0,6,8.0,2,3.0,0.0,0.0,3,,,,,,,0.6,0.5,1
401441999,2022,,away,13,5-14,0-2,219,180,13-22,8.2,39,33,1.2,11-82,0,0,0,30:25,0,0,2,2,0,2,2.0,0,3.0,0,1.0,0.0,-1.0,0,4.0,0.0,91.0,,,,0.35714285714285715,0.0,0
401403917,2022,,home,19,7-12,0-3,395,185,15-26,7.1,210,33,6.4,5-50,0,0,0,28:13,1,4,1,38,0,3,0.0,1,5.0,1,,,,4,3.0,0.0,100.0,,,,0.5833333333333334,0.0,0
401403928,2022,,away,16,4-16,0-3,371,271,18-37,7.3,100,34,2.9,7-53,0,0,0,28:43,4,6,0,31,0,3,0.0,2,8.0,1,1.0,0.0,12.0,1,2.0,0.0,48.0,2.0,0.0,0.0,0.25,0.0,0
401520429,2023,,home,13,7-16,0-1,232,86,9-16,5.4,146,44,3.3,8-90,1,0,1,34:52,8,6,3,23,0,7,2.0,0,7.0,0,,,,1,1.0,0.0,29.0,,,,0.4375,0.0,0
401520251,2023,,home,21,1-9,0-1,395,259,20-23,11.3,136,36,3.8,5-35,2,2,0,31:35,1,10,4,28,0,6,2.0,0,16.0,1,4.0,0.0,53.0,0,1.0,0.0,22.0,,,,0.1111111111111111,0.0,1
401520190,2023,,home,33,5-6,0-0,560,233,18-23,10.1,327,51,6.4,4-20,1,1,0,36:09,3,0,2,18,0,7,1.0,0,5.0,1,1.0,0.0,0.0,6,2.0,0.0,17.0,,,,0.8333333333333334,,1
401520224,2023,,home,21,7-14,0-1,349,166,19-24,6.9,183,43,4.3,5-30,0,0,0,37:28,4,3,1,32,0,3,1.0,0,5.0,1,1.0,0.0,6.0,3,,,,1.0,0.0,39.0,0.5,0.0,1
401520325,2023,,away,28,4-15,3-4,494,423,30-48,8.8,71,33,2.2,6-48,0,0,0,32:48,0,7,2,42,0,6,0.0,1,15.0,3,1.0,0.0,5.0,1,1.0,0.0,16.0,1.0,0.0,0.0,0.26666666666666666,0.75,1
401520363,2023,,home,20,8-17,0-0,394,282,26-42,6.7,112,28,4.0,7-55,1,1,0,30:14,2,3,5,41,0,6,1.0,1,12.0,3,2.0,0.0,56.0,1,3.0,0.0,83.0,1.0,0.0,-1.0,0.47058823529411764,,0
401520389,2023,,away,27,4-13,1-3,488,311,26-38,8.2,177,42,4.2,6-50,1,1,0,34:29,3,1,2,27,0,3,2.0,1,5.0,1,,,,4,1.0,0.0,20.0,,,,0.3076923076923077,0.3333333333333333,0
401520413,2023,,away,23,5-11,1-1,500,239,18-26,9.2,261,40,6.5,9-48,2,1,1,33:08,2,3,1,35,0,3,1.0,0,7.0,2,,,,2,2.0,0.0,30.0,,,,0.45454545454545453,1.0,0
401520299,2023,,home,25,5-12,1-1,495,280,34-41,6.8,215,30,7.2,8-70,1,0,1,36:58,5,6,2,24,0,6,0.0,1,8.0,3,2.0,0.0,21.0,2,2.0,0.0,44.0,,,,0.4166666666666667,1.0,1
401520282,2023,,away,15,4-13,1-3,313,244,25-30,8.1,69,29,2.4,10-86,1,0,1,31:14,4,0,0,25,0,4,1.0,0,2.0,2,1.0,0.0,5.0,0,,,,,,,0.3076923076923077,0.3333333333333333,0
401520176,2023,,away,17,1-13,2-5,346,333,31-44,7.6,13,21,0.6,9-46,1,0,1,31:52,2,2,0,29,0,4,1.0,0,3.0,1,2.0,0.0,5.0,0,2.0,0.0,47.0,,,,0.07692307692307693,0.4,0
401520352,2023,,home,16,4-11,0-2,339,230,25-34,6.8,109,25,4.4,2-17,1,1,0,26:31,3,3,0,27,0,4,2.0,0,2.0,2,,,,1,1.0,0.0,23.0,,,,0.36363636363636365,0.0,0
401628322,2024,,home,17,1-9,1-2,261,122,14-26,4.7,139,28,5.0,2-25,2,0,2,25:30,3,4,1,36,0,2,1.0,0,5.0,0,2.0,0.0,28.0,2,1.0,0.0,35.0,1.0,0.0,0.0,0.1111111111111111,0.5,0
401628393,2024,,home,16,6-12,0-0,476,279,8-15,18.6,197,44,4.5,4-40,1,0,1,30:04,6,9,1,31,1,3,,0,12.0,0,,,,5,3.0,0.0,62.0,3.0,1.0,81.0,0.5,,1
401628408,2024,,away,13,3-16,2-4,259,113,9-28,4.0,146,37,3.9,5-42,1,0,1,26:25,3,4,2,32,0,4,1.0,0,8.0,1,1.0,0.0,-1.0,1,2.0,0.0,34.0,3.0,0.0,62.0,0.1875,0.5,0
401628367,2024,,away,28,7-9,0-0,503,277,26-28,9.9,226,36,6.3,6-54,1,1,0,27:36,6,4,3,34,1,7,2.0,1,9.0,3,1.0,0.0,35.0,3,1.0,0.0,0.0,,,,0.7777777777777778,,1
401628380,2024,,home,18,6-13,1-1,359,229,23-28,8.2,130,32,4.1,8-64,0,0,0,32:16,3,0,5,30,0,7,1.0,0,6.0,1,,,,2,1.0,0.0,12.0,1.0,0.0,0.0,0.46153846153846156,1.0,1
401628391,2024,,away,22,5-15,0-2,361,223,20-32,7.0,138,40,3.5,6-36,2,1,1,34:56,2,1,3,35,0,8,2.0,1,5.0,2,2.0,0.0,57.0,0,,,,1.0,0.0,20.0,0.3333333333333333,0.0,0
401628417,2024,,away,20,6-14,0-0,329,132,12-25,5.3,197,41,4.8,4-35,3,1,2,32:06,1,1,1,35,0,3,1.0,1,5.0,0,,,,2,3.0,0.0,49.0,,,,0.42857142857142855,,0
401628353,2024,,home,19,2-9,1-2,301,249,18-29,8.6,52,25,2.1,7-65,3,0,3,22:14,1,4,0,45,0,2,1.0,0,2.0,2,,,,1,3.0,0.0,82.0,,,,0.2222222222222222,0.5,0
401628438,2024,,away,18,5-13,0-0,368,133,14-22,6.0,235,38,6.2,7-70,1,0,1,27:08,3,3,8,41,0,14,0.0,5,7.0,2,3.0,0.0,23.0,2,,,,,,,0.38461538461538464,,1
401628429,2024,,home,19,7-15,0-0,345,180,10-17,10.6,165,44,3.8,5-44,1,0,1,29:56,6,4,4,33,0,9,0.0,1,6.0,2,1.0,0.0,10.0,1,,,,2.0,0.0,0.0,0.4666666666666667,,1
401677084,2024,,home,26,6-16,2-1,529,305,22-35,8.7,224,44,5.1,9-95,2,0,2,38:57,3,4,1,41,0,4,1.0,0,15.0,1,1.0,0.0,0.0,2,,,,3.0,0.0,4.0,0.375,2.0,1
401628420,2024,,home,13,3-9,0-0,339,226,13-26,8.7,113,17,6.6,7-55,0,0,0,18:17,6,6,7,43,0,11,1.0,1,9.0,1,1.0,0.0,-2.0,2,,,,,,,0.3333333333333333,,1
401628338,2024,,home,21,5-11,1-3,632,466,19-28,16.6,166,34,4.9,7-77,1,1,0,26:30,5,6,4,38,0,12,1.0,1,9.0,3,3.0,0.0,37.0,3,1.0,0.0,31.0,,,,0.45454545454545453,0.3333333333333333,1
